영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
"고산자, 대동여지도",The Map Against the World,2016,한국,사극,감독,7801007258.0,974262.0,7801007258.0,974262.0
전설의 주먹,Fists of Legend,2012,한국,"드라마,액션",감독,12777314500.0,1744585.0,12777314500.0,1744585.0
글러브,GLOVE,2010,한국,드라마,감독,13757574500.0,1888100.0,13756114000.0,1887733.0
이끼,Moss,2010,한국,"드라마,스릴러","감독,제작",25856306126.0,3408144.0,25437344000.0,3350311.0
강철중: 공공의 적 1-1,Public Enemy Returns,2008,한국,"드라마,액션",감독,28465757767.0,4300670.0,28638465100.0,4313102.0
한반도,Hanbando,2006,한국,"드라마,액션",감독,0.0,3880308.0,20597497600.0,3331593.0
공공의 적 2,Another Public Enemy,2005,한국,드라마,감독,0.0,3911356.0,20091142000.0,3134424.0
실미도,Silmido,2003,한국,전쟁,감독,0.0,11081000.0,10923930500.0,1719167.0
생과부 위자료 청구소송,Bedroom And Courtroom,1998,한국,"드라마,코미디","감독,투자",0.0,147037.0,0.0,0.0
투캅스 2,Two Cops 2,1996,한국,"코미디,액션",감독,0.0,636047.0,5000.0,1.0
마누라 죽이기,How To Top My Wife,1994,한국,"드라마,코미디","감독,투자",0.0,344900.0,5000.0,1.0
투캅스,Two Cops,1993,한국,"코미디,액션,드라마",감독,0.0,860433.0,220000.0,41.0
나는 날마다 일어선다,I Stand Every Day,1990,한국,드라마,감독,0.0,29812.0,3000.0,3.0
행복은 성적순이 아니잖아요,Happiness Does Not Come In Grades,1989,한국,드라마,감독,0.0,155321.0,30000.0,6.0
