영화명,영화명(영문),제작연도,제작국가,장르,역할,공식통계 매출액,공식통계 관객수,KOBIS통계 매출액,KOBIS통계 관객수
자산어보,The Book of Fish,2019,한국,"사극,드라마",감독,3007565490.0,340763.0,3016796790.0,342696.0
변산,Sunset in My Hometown,2017,한국,드라마,감독,4014072273.0,490033.0,4016562273.0,490519.0
박열,Anarchist from the colony,2017,한국,드라마,감독,18093543795.0,2359174.0,18097114795.0,2359800.0
동주,DONGJU; The Portrait of A Poet,2015,한국,드라마,감독,8870143589.0,1169335.0,8920845903.0,1176994.0
사도,The Throne,2014,한국,사극,감독,48842902501.0,6246849.0,48846723501.0,6247745.0
소원,Hope,2013,한국,드라마,감독,18529792100.0,2711071.0,18530314600.0,2711144.0
평양성,Battlefield Heroes,2010,한국,"전쟁,코미디,드라마",감독,12684530500.0,1717566.0,12684530500.0,1717566.0
구르믈 버서난 달처럼,Blades of Blood,2009,한국,"사극,액션",감독,10408565262.0,1407681.0,10241716500.0,1383867.0
님은 먼 곳에,Sunny,2008,"한국,태국","드라마,전쟁",감독,11211235000.0,1706576.0,11206382000.0,1706495.0
즐거운 인생,The Happy Life,2007,한국,드라마,감독,0.0,1263835.0,7874566500.0,1202719.0
왕의 남자,King and the Clown,2005,한국,드라마,"감독,제작",0.0,12302831.0,66019904400.0,10514177.0
키드캅,Kid Cop,1993,한국,"드라마,액션",감독,0.0,21454.0,156000.0,26.0
